"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN25LA173","ACC","200127","2025-04-30T20:50:00Z","Duncan","Oklahoma","United States",,"N2135Z","18051235","false","Aviation","",,,"None","0","0","0","0","0",,,,"34.470872999999997","-97.959860000000006","CESSNA","180F","AIR","DUC","Halliburton Field Airport","false","1",,,"PERS","091","Substantial","VMC","Prop Blast Aviation, LLC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200127/pdf"
"CEN25LA167","ACC","200106","2025-04-30T18:52:00Z","Bethany","Oklahoma","United States",,"N9TV","65195","false","Aviation","DirectorBrief","2025-06-13T04:00:00Z","2025-06-13T17:00:00Z","Minor","0","0","1","1","0","The pilot’s improper landing technique that allowed the helicopter’s right skid to get caught on the landing platform, which resulted in a dynamic rollover.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"35.536132000000002","-97.642410999999996","BELL HELICOPTER TEXTRON CANADA","505","HELI","PWA","WILEY POST","false","1","TS",,"BUS","091","Substantial","VMC","GRIFFIN TELEVISION OKC LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200106","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200106/pdf"
"ERA25LA190","ACC","200083","2025-04-30T11:39:00Z","Stevensville","Maryland","United States",,"N771SL","1405","false","Aviation","DirectorBrief","2025-09-16T04:00:00Z",,"None","0","0","0","0","0","The pilot’s failure to maintain control of the airplane during an aborted landing, which resulted in a runway excursion.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"38.976863000000002","-76.332344000000006","CIRRUS DESIGN CORP","SR22","AIR","W29","BAY BRIDGE","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200083/pdf"
"ERA25LA196","ACC","200116","2025-04-30T11:29:00Z","Brasstown","North Carolina","United States",,"N788MP","JA612-01-21","false","Aviation","DirectorBrief","2025-11-06T05:00:00Z","2025-11-06T18:00:00Z","Serious","0","1","0","1",,"The pilot’s inadvertent application of brake pressure during landing, which resulted in a nose over.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft systems - Landing gear system - Brake - Incorrect use/operation",,"35","-83","CHRIS WALLEN/MICHAEL PLISKE","JUST ACFT HIGHLANDER","AIR","None","Payne's Landing","true","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200116","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200116/pdf"
"WPR25FA145","ACC","200080","2025-04-29T16:34:00Z","Cottonwood","California","United States",,"N6310N","463","false","Aviation","",,,"Fatal","2","0","0","2",,,,,"40.339239999999997","-122.33881","CHAMPION","7ECA","AIR","CA04","FLYING N RANCH","false","1",,,"INST","091","Destroyed","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200080/pdf"
"GAA25WA158","INC","200157","2025-04-29T13:20:00Z","St George Aerodrome",,"Australia",,"VH-FAO",,"false","Aviation","",,,"None","0","0","0","0",,,,,"-28","149","AIR TRACTOR","AT602","AIR",,,"false",,,,"AAPL","UNK","Minor",,,"N/A",,"Prelim","","None"
"CEN25LA164","ACC","200088","2025-04-29T09:40:00Z","Atlantic Ocean",,"Canada",,"N4025K","802A-1187","false","Aviation","DirectorBrief","2025-08-12T04:00:00Z","2025-08-12T17:00:00Z","Fatal","1","0","0","1",,"The airplane’s impact with the ocean for undetermined reasons based on the available evidence.","Not determined - Not determined - (general) - (general) - Unknown/Not determined",,"46.951667","-49.641666999999998","AIR TRACTOR","AT802","AIR",,,"false","1","TP","NSCH","FERY","091","Destroyed","IMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200088","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200088/pdf"
"DCA25WA219","INC","200232","2025-04-29T04:00:00Z","Athens",,"Greece",,"4X-EHE, SX-TNO",,"false","Aviation","",,,,,,,,,,,,,,"BOEING, ATR","737, ATR72",,,,"false, false",,,,,,,,,"N/A",,,"","None"
"CEN25LA176","ACC","200154","2025-04-28T16:37:00Z","Lancaster","Texas","United States",,"N501MS","LJ-626","false","Aviation","DirectorBrief","2025-08-11T04:00:00Z","2025-08-11T17:00:00Z","Serious","0","1","1","2","0","The pilot’s improper fuel planning, which resulted in fuel exhaustion and a total loss of power to both engines.","Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Personnel issues - Psychological - Attention/monitoring - Task monitoring/vigilance - Pilot, Personnel issues - Experience/knowledge - Knowledge - Knowledge of procedures - Pilot, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level",,"32.590018999999998","-96.709999999999994","BEECH","C90","AIR",,,"false","2","TP",,"BUS","091","Substantial","VMC","GM INTERCOM LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200154","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200154/pdf"
"ANC25FA035","ACC","200076","2025-04-28T14:55:00Z","Nanwalek","Alaska","United States",,"N91025","20700016","false","Aviation","",,,"Fatal","2","1","0","3",,,,,"59.355632","-151.92299","CESSNA","T207","AIR",,,"false","1",,"SCHD","BUS","135","Substantial","VMC","Smokey Bay Air","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200076/pdf"
