"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"GAA25WA221","ACC","200681","2025-07-31T22:55:00Z","Ottawa, Ontario","Other Foreign","Canada",,"C-GUXN",,"false","Aviation","","2025-10-01T04:00:00Z",,"Fatal","1","0","0","1",,,,,,,"GRUMMAN","AA5","AIR","CYOW",,"false",,,,,"NUSN","Substantial",,,"N/A",,"Final","","None"
"WPR25LA235","ACC","200703","2025-07-31T19:43:00Z","Kamiah","Idaho","United States",,"N52175","18052538","false","Aviation","DirectorBrief","2025-10-17T04:00:00Z","2025-10-17T17:00:00Z","None","0","0","0","0",,"The pilot’s loss of airplane control following an encounter with a microburst during takeoff.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Capability exceeded, Environmental issues - Conditions/weather/phenomena - Wind - Microburst - Effect on operation, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation",,"46.298000000000002","-116.06100000000001","CESSNA","180J","AIR","PVT","Flying Elk","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200703","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200703/pdf"
"ERA25LA319","ACC","200877","2025-07-31T15:00:00Z","Tampa","Florida","United States",,"N1244G","3607","false","Aviation","DirectorBrief","2025-11-20T05:00:00Z","2025-11-20T18:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain directional control during landing roll, which resulted in a runway excursion and collision with an object.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,"27.915444000000001","-82.449388999999996","WACO","UBF","AIR","TPF","PETER O KNIGHT","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200877","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200877/pdf"
"ANC25LA080","ACC","200679","2025-07-31T14:00:00Z","Soldotna","Alaska","United States",,"N60509","15070361","false","Aviation","",,,"Serious","0","1","1","2",,,,,"60.474916999999998","-151.02589","CESSNA","150J","AIR","sxq","Soldotna Airport","false","1",,,"INST","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200679/pdf"
"GAA25WA228","ACC","200713","2025-07-31T11:30:00Z","Marsh Harbor","Other Foreign","Bahamas",,"N68BT","32-7300030","false","Aviation","","2025-09-29T04:00:00Z",,"None","0","0","0","0","0",,,,,,"PIPER","PA32","AIR","MYAM",,"false","1",,"NSCH","PERS","091","Substantial",,"KC Aviation LLC","N/A",,"Final","","None"
"WPR25LA237","ACC","200705","2025-07-31T10:19:00Z","Thermal","California","United States",,"N2658C","R18200198","false","Aviation","DirectorBrief","2026-02-13T05:00:00Z","2026-02-12T18:00:00Z","None","0","0","0","0","0","The pilot's failure to extend the landing gear during landing. Contributing to the accident was the pilot’s failure to use a pre-landing checklist.","Personnel issues - Action/decision - Action - Forgotten action/omission - Pilot, Personnel issues - Task performance - Use of equip/info - Use of checklist - Pilot, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Aircraft - Aircraft systems - Landing gear system - Gear extension and retract sys - Not used/operated",,"33.630468999999998","-116.16122","CESSNA","R182","AIR","TRM","JACQUELINE COCHRAN RGNL","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200705","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200705/pdf"
"CEN25LA298","ACC","200674","2025-07-31T09:46:00Z","Assumption","Minnesota","United States",,"N102SH","7762","false","Aviation","DirectorBrief","2025-09-18T04:00:00Z","2025-09-18T17:00:00Z","None","0","0","0","0","0","A total loss of engine power due to fuel starvation, which resulted from attitude-inducing unporting of the fuel.","Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Aircraft - Aircraft systems - Fuel system - Fuel distribution - Design, Aircraft - Aircraft systems - Fuel system - Fuel distribution - Capability exceeded",,"44.687274000000002","-93.835999000000001","BELL","47G","HELI",,,"false","1","TS",,"AAPL","137","Substantial","VMC","Scott Churchill","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200674","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200674/pdf"
"WPR25LA242","ACC","200718","2025-07-31T09:40:00Z","Moriarty","New Mexico","United States",,"N50778","432","false","Aviation","DirectorBrief","2026-01-09T05:00:00Z","2026-01-09T19:00:00Z","None","0","0","0","0",,"The pilot’s improper landing flare, which resulted in a hard landing.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"34.982028999999997","-106.00812999999999","CHAMPION","7FC","AIR","0E0","MORIARTY MUNI","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200718","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200718/pdf"
"WPR25LA234","ACC","200688","2025-07-30T18:30:00Z","Cashmere","Washington","United States",,"N759NB","18266117","false","Aviation","DirectorBrief","2025-11-20T05:00:00Z","2025-11-20T18:00:00Z","Serious","0","2","0","2",,"The pilot’s failure to maintain clearance from obstacles during an aborted landing, while flying in tailwind conditions. Contributing to the accident was the high density altitude weather condition.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Climb rate - Not attained/maintained, Personnel issues - Action/decision - Action - Delayed action - Pilot, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - High density altitude - Effect on operation, Environmental issues - Conditions/weather/phenomena - Wind - Tailwind - Effect on operation",,"47.514000000000003","-120.479","CESSNA","182Q","AIR","8S2","Cashmere-Dryden","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200688","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200688/pdf"
"DCA25LA276","ACC","200672","2025-07-30T18:23:00Z","Creston","Wyoming","United States",,"N422DZ","2031","false","Aviation","",,,"Serious","0","2","5","7","0",,,,"41.901383000000003","-107.87072000000001","AIRBUS","A330","AIR",,,"false","2",,"SCHD",,"121","Minor",,"DELTA AIR LINES INC","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200672/pdf"
