"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN25LA229","ACC","200436","2025-06-30T21:54:00Z","Guthrie","Oklahoma","United States",,"N981CS","A122184","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"35.793472000000001","-97.485307000000006","RANS","S-14","AIR","PVT","PVT","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200436/pdf"
"CEN25LA233","ACC","200467","2025-06-30T20:32:00Z","Slaughter","Louisiana","United States",,"N5000S","11-10-54-0124","false","Aviation","",,,"None","0","0","0","0","0",,,,"30.727101000000001","-91.148550999999998","ICP SRL","SAVANNAH S","AIR","LS77","Magnolia Airpark","false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200467/pdf"
"ANC25LA060","ACC","200440","2025-06-30T17:30:00Z","Chinitna Bay","Alaska","United States",,"N3609Z","22-7497","false","Aviation","",,,"None","0","0","0","0",,,,,"59.879455999999998","-153.05283","PIPER","PA-22-150","AIR",,,"false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200440/pdf"
"WPR25LA199","ACC","200470","2025-06-30T13:43:00Z","Tukwila","Washington","United States",,"N23UP","0270","false","Aviation","DirectorBrief","2025-11-06T05:00:00Z","2025-11-06T18:00:00Z","None","0","0","0","0",,"The pilot’s failure to maintain yaw control during a takeoff to a hover in a gusting crosswind, which resulted in a loss of directional control and a subsequent hard landing.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Environmental issues - Conditions/weather/phenomena - Wind - Tailwind - Effect on operation",,"47.526623000000001","-122.30152","ROBINSON HELICOPTER CO","R66","HELI","BFI","Boeing Field/King County International Airport","false","1","TS",,"PERS","091","Substantial","VMC","SEATTLE AIR TAXI LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200470","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200470/pdf"
"WPR25LA200","ACC","200471","2025-06-30T13:00:00Z","Harrison","Montana","United States",,"N5901V","301","false","Aviation","",,,"None","0","0","0","0",,,,,"45.701309999999999","-111.70299","FAUST","3","AIR",,,"false","1",,,"PERS","091","Substantial","VMC",,"In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200471/pdf"
"WPR25LA201","ACC","200474","2025-06-30T12:11:00Z","Alpine","Wyoming","United States",,"N124GH","LIV-115","false","Aviation","DirectorBrief","2026-01-15T05:00:00Z","2026-01-15T18:00:00Z","Minor","0","0","1","1",,"The pilot’s loss of visual reference during the landing approach which resulted in a collision with water.","Personnel issues - Psychological - Perception/orientation/illusion - Visual illusion/disorientation - Pilot, Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - (general) - Response/compensation",,"43.196041999999998","-111.05355","LANCAIR","IV","AIR","46U","ALPINE","true","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200474","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200474/pdf"
"CEN25LA228","ACC","200432","2025-06-30T11:00:00Z","Ben Bolt","Texas","United States",,"N5287S","27-0244","false","Aviation","DirectorBrief","2025-10-09T04:00:00Z","2025-10-09T17:00:00Z","Minor","0","0","1","1",,"The pilot’s failure to maintain directional control while landing with a crosswind.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation",,"27.548848","-98.029027999999997","MOONEY","M20M","AIR","IKG","KLEBERG COUNTY","false","1","REC",,"PERS","091","Substantial","VMC",,"Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200432","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200432/pdf"
"GAA25WA226","ACC","200701","2025-06-30T07:00:00Z","Cienaga","Other Foreign","Colombia",,"HK4198",,"false","Aviation","","2026-01-08T05:00:00Z",,"Minor","0","0","1","1","0",,,,"10.958610999999999","-74.180555999999996","AIR TRACTOR","AT301","AIR",,,"false",,,,,"NUSN","Substantial",,"FUMIGARAY S.A.S.","N/A",,"Final","","None"
"WPR25LA194","ACC","200427","2025-06-29T22:00:00Z","Helena","Montana","United States",,"N50476","1137-79","false","Aviation","",,,"None","0","0","0","0",,,,,"46.605780000000003","-111.97994","BELLANCA","7GCBC","AIR","HLN","Helena Regional Airport","false","1",,,"PERS","091","Substantial",,"SLEEPING GIANT FLYING CLUB","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200427/pdf"
"ANC25LA064","ACC","200463","2025-06-29T21:05:00Z","Palmer","Alaska","United States",,"N531AT","14025","false","Aviation","DirectorBrief","2025-09-05T04:00:00Z","2025-09-05T18:00:00Z","None","0","0","0","0",,"The pilot’s diverted attention during takeoff in flat light conditions, which resulted in a loss of visual reference with terrain.","Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Personnel issues - Task performance - Workload management - (general) - Pilot, Environmental issues - Physical environment - Terrain - High elevation - Effect on operation, Environmental issues - Conditions/weather/phenomena - Light condition - Flat light - Effect on personnel, Personnel issues - Psychological - Perception/orientation/illusion - Situational awareness - Pilot, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Personnel issues - Experience/knowledge - Training - Training with equipment - Pilot, Personnel issues - Psychological - Personality/attitude - Confidence/reliance on equip - Pilot",,"61.441667000000002","-148.75899999999999","ROBINSON HELICOPTER COMPANY","R44 II","HELI",,,"false","1","REC","NSCH","BUS","135","Substantial","VMC","Elevate Aviation LLC","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=200463","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200463/pdf"
