ingestion_id,source_file,ingested_at,ntsb_no,event_type,mkey,event_id,report_no,report_status,report_type,most_recent_report_type,rep_gen_flag,event_date,city,state,country,latitude,longitude,airport_id,airport_name,n_number,serial_number,make,model,aircraft_category,amateur_built,number_of_engines,engine_type,far_part,scheduled,purpose_of_flight,operator,aircraft_damage,highest_injury_level,fatal_injury_count,serious_injury_count,minor_injury_count,onboard_injury_count,onground_injury_count,weather_condition,probable_cause,findings,original_published_date,docket_original_published_date,has_safety_rec,mode,docket_url,report_url
1,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,CEN25LA173,ACC,200127,,,In work,,Prelim,,2025-04-30T20:50:00Z,Duncan,Oklahoma,United States,34.470872999999997,,DUC,Halliburton Field Airport,N2135Z,18051235,CESSNA,180F,AIR,false,1,,091,,PERS,"Prop Blast Aviation, LLC",Substantial,None,0,0,0,0,0,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200127/pdf
2,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,CEN25LA167,ACC,200106,,,Completed,DirectorBrief,Final,,2025-04-30T18:52:00Z,Bethany,Oklahoma,United States,35.536132000000002,,PWA,WILEY POST,N9TV,65195,BELL HELICOPTER TEXTRON CANADA,505,HELI,false,1,TS,091,,BUS,GRIFFIN TELEVISION OKC LLC,Substantial,Minor,0,0,1,1,0,VMC,"The pilot’s improper landing technique that allowed the helicopter’s right skid to get caught on the landing platform, which resulted in a dynamic rollover.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",2025-06-13T04:00:00Z,2025-06-13T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200106,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200106/pdf
3,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,ERA25LA190,ACC,200083,,,Completed,DirectorBrief,Final,,2025-04-30T11:39:00Z,Stevensville,Maryland,United States,38.976863000000002,,W29,BAY BRIDGE,N771SL,1405,CIRRUS DESIGN CORP,SR22,AIR,false,1,REC,091,,PERS,,Substantial,None,0,0,0,0,0,VMC,"The pilot’s failure to maintain control of the airplane during an aborted landing, which resulted in a runway excursion.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",2025-09-16T04:00:00Z,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200083/pdf
4,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,ERA25LA196,ACC,200116,,,Completed,DirectorBrief,Final,,2025-04-30T11:29:00Z,Brasstown,North Carolina,United States,35,,None,Payne's Landing,N788MP,JA612-01-21,CHRIS WALLEN/MICHAEL PLISKE,JUST ACFT HIGHLANDER,AIR,true,1,REC,091,,PERS,,Substantial,Serious,0,1,0,1,,VMC,"The pilot’s inadvertent application of brake pressure during landing, which resulted in a nose over.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft systems - Landing gear system - Brake - Incorrect use/operation",2025-11-06T05:00:00Z,2025-11-06T18:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200116,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200116/pdf
5,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,WPR25FA145,ACC,200080,,,In work,,Prelim,,2025-04-29T16:34:00Z,Cottonwood,California,United States,40.339239999999997,,CA04,FLYING N RANCH,N6310N,463,CHAMPION,7ECA,AIR,false,1,,091,,INST,,Destroyed,Fatal,2,0,0,2,,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200080/pdf
6,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,GAA25WA158,INC,200157,,,N/A,,Prelim,,2025-04-29T13:20:00Z,St George Aerodrome,,Australia,-28,,,,VH-FAO,,AIR TRACTOR,AT602,AIR,false,,,UNK,,AAPL,,Minor,None,0,0,0,0,,,,,,,false,Aviation,,None
7,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,CEN25LA164,ACC,200088,,,Completed,DirectorBrief,Final,,2025-04-29T09:40:00Z,Atlantic Ocean,,Canada,46.951667,,,,N4025K,802A-1187,AIR TRACTOR,AT802,AIR,false,1,TP,091,NSCH,FERY,,Destroyed,Fatal,1,0,0,1,,IMC,The airplane’s impact with the ocean for undetermined reasons based on the available evidence.,Not determined - Not determined - (general) - (general) - Unknown/Not determined,2025-08-12T04:00:00Z,2025-08-12T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200088,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200088/pdf
8,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,DCA25WA219,INC,200232,,,N/A,,,,2025-04-29T04:00:00Z,Athens,,Greece,,,,,"4X-EHE, SX-TNO",,"BOEING, ATR","737, ATR72",,"false, false",,,,,,,,,,,,,,,,,,,false,Aviation,,None
9,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,CEN25LA176,ACC,200154,,,Completed,DirectorBrief,Final,,2025-04-28T16:37:00Z,Lancaster,Texas,United States,32.590018999999998,,,,N501MS,LJ-626,BEECH,C90,AIR,false,2,TP,091,,BUS,GM INTERCOM LLC,Substantial,Serious,0,1,1,2,0,VMC,"The pilot’s improper fuel planning, which resulted in fuel exhaustion and a total loss of power to both engines.","Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Personnel issues - Psychological - Attention/monitoring - Task monitoring/vigilance - Pilot, Personnel issues - Experience/knowledge - Knowledge - Knowledge of procedures - Pilot, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level",2025-08-11T04:00:00Z,2025-08-11T17:00:00Z,false,Aviation,https://data.ntsb.gov/Docket?ProjectID=200154,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200154/pdf
10,cases2026-04-01_20-43 copy 2.csv,2026-04-03 04:05:44.307121+00:00,ANC25FA035,ACC,200076,,,In work,,Prelim,,2025-04-28T14:55:00Z,Nanwalek,Alaska,United States,59.355632,,,,N91025,20700016,CESSNA,T207,AIR,false,1,,135,SCHD,BUS,Smokey Bay Air,Substantial,Fatal,2,1,0,3,,VMC,,,,,false,Aviation,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200076/pdf
