profile_key,model_family,make,model_variants,aircraft_category,typical_engine_type,typical_engine_count,total_incidents,first_incident_year,last_incident_year,years_in_record,incidents_per_year,destroyed_count,substantial_count,minor_damage_count,pct_destroyed,pct_substantial,pct_minor,total_fatal_incidents,total_fatal_injuries,total_serious_injuries,total_minor_injuries,pct_fatal_incidents,avg_fatals_per_fatal_incident,imc_incidents,vmc_incidents,pct_imc,top_soe_group,top_finding,top_phase,kw_engine_failure_pct,kw_fuel_exhaustion_pct,kw_loss_of_control_pct,kw_weather_factor_pct,kw_mechanical_pct,kw_pilot_error_pct,kw_runway_excursion_pct,kw_fire_pct,kw_structural_pct,kw_bird_strike_pct,avg_severity_score_all_time,avg_severity_score_recent3yr,severity_trend,trend_delta,risk_score,risk_tier,risk_rationale,sample_probable_cause,sample_finding,gold_generated_at,incident_mkeys
1,ROBIN DR400,ROBIN,DR400,AIR,REC,,2,2025,2025,1,2.00,2,0,0,100.0,0.0,0.0,2,4,0,0,100.0,2.00,0,0,,Other,,Initial Climb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.00,34.00,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 4 | Destroyed: 2 | Avg severity: 34.00 | Top cause: Other | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202259|200690
2,EMBRAER ERJ190,EMBRAER,ERJ190,AIR,TF,2.0,2,2025,2026,2,1.00,0,0,1,0.0,0.0,50.0,0,0,0,0,0.0,0.00,0,0,,Runway Incursion,,Taxi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.50,4.50,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 0 | Destroyed: 0 | Avg severity: 4.50 | Top cause: Runway Incursion | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202647|200678
3,EMBRAER EMB145,EMBRAER,EMB145,AIR,TF,,2,2025,2025,1,2.00,1,0,0,50.0,0.0,0.0,0,0,0,0,0.0,0.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.50,7.50,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 0 | Destroyed: 1 | Avg severity: 7.50 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202028|200661
4,AIR TRACTOR AT602,AIR TRACTOR,AT602,AIR,,,2,2025,2025,1,2.00,1,0,1,50.0,0.0,50.0,1,1,0,0,50.0,1.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.50,17.50,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 1 | Destroyed: 1 | Avg severity: 17.50 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202128|200157
5,BOEING 737-824,BOEING,737-824,AIR,TF,2.0,2,2025,2026,2,1.00,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.50,5.50,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 0 | Destroyed: 0 | Avg severity: 5.50 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202612|201002
6,BOEING 737-800,BOEING,737-800,AIR,,,5,2025,2025,1,5.00,0,0,0,0.0,0.0,0.0,0,0,2,0,0.0,0.00,0,0,,Turbulence,,Initial Climb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.80,2.80,Stable,0.00,100.00,High,Incidents: 5 | Fatals: 0 | Destroyed: 0 | Avg severity: 2.80 | Top cause: Turbulence | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202269|200623|200621|200151|199967
7,ROBINSON R44,ROBINSON,R44,HELI,,,8,2025,2026,2,4.00,2,5,0,25.0,62.5,0.0,4,5,0,7,50.0,1.25,0,0,,Other,,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,18.75,Stable,0.00,100.00,High,Incidents: 8 | Fatals: 5 | Destroyed: 2 | Avg severity: 18.75 | Top cause: Other | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202656|202264|202130|202123|201939|201833|200370|200443
8,ROBINSON R22,ROBINSON,R22,HELI,REC,1.0,5,2025,2025,1,5.00,2,2,0,40.0,40.0,0.0,2,2,1,0,40.0,1.00,0,0,,Other,,Enroute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.20,15.20,Stable,0.00,100.00,High,Incidents: 5 | Fatals: 2 | Destroyed: 2 | Avg severity: 15.20 | Top cause: Other | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202096|201952|201851|201800|200699
9,VULCANAIR P68,VULCANAIR,P68,AIR,,,2,2025,2025,1,2.00,1,0,0,50.0,0.0,0.0,1,1,0,0,50.0,1.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.00,16.00,Stable,0.00,100.00,High,Incidents: 2 | Fatals: 1 | Destroyed: 1 | Avg severity: 16.00 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202126|201005
10,THRUSH S2R,THRUSH,S2R,AIR,TP,1.0,3,2025,2026,2,1.50,1,1,0,33.3,33.3,0.0,1,1,0,0,33.3,1.00,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67,12.67,Stable,0.00,100.00,High,Incidents: 3 | Fatals: 1 | Destroyed: 1 | Avg severity: 12.67 | Top cause: Unknown | Trend: Stable,,,2026-04-03 04:05:44.842659+00:00,202615|201902|200964
