event_key,mkey,vehicle_num,event_num,event_code,is_defining_event,tier1_name,tier1_num,tier2_name,tier2_num,soe_group,phase_group,silver_loaded_at
1,202248,1,1,550230,True,Landing,550,Loss of control on ground,230,Loss of Control (Ground),Landing,2026-04-03 04:05:44.570293+00:00
2,202247,1,1,500341,True,Approach,500,Loss of engine power (total),341,System/Component Failure (Powerplant),Approach,2026-04-03 04:05:44.570293+00:00
3,202249,1,1,152230,True,Standing-engine(s) start-up,152,Loss of control on ground,230,Loss of Control (Ground),Standing,2026-04-03 04:05:44.570293+00:00
4,202231,1,1,452341,True,Maneuvering-low-alt flying,452,Loss of engine power (total),341,System/Component Failure (Powerplant),Maneuvering,2026-04-03 04:05:44.570293+00:00
5,202228,1,2,402240,True,Enroute-cruise,402,Loss of control in flight,240,Loss of Control (Inflight),Enroute,2026-04-03 04:05:44.570293+00:00
6,200820,1,3,300490,True,Takeoff,300,Collision during takeoff/land,490,Collision on Takeoff or Landing,Takeoff,2026-04-03 04:05:44.570293+00:00
7,202233,1,1,550094,True,Landing,550,Landing gear collapse,094,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
8,202225,1,1,550230,True,Landing,550,Loss of control on ground,230,Loss of Control (Ground),Landing,2026-04-03 04:05:44.570293+00:00
9,202264,1,1,990000,True,Unknown,990,Unknown or undetermined,000,Other,Unknown,2026-04-03 04:05:44.570293+00:00
10,202224,1,1,300300,True,Takeoff,300,Runway excursion,300,Runway Excursion,Takeoff,2026-04-03 04:05:44.570293+00:00
11,202196,1,1,400341,True,Enroute,400,Loss of engine power (total),341,System/Component Failure (Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
12,202213,1,1,450250,True,Maneuvering,450,Midair collision,250,Midair,Maneuvering,2026-04-03 04:05:44.570293+00:00
13,202213,2,1,450250,True,Maneuvering,450,Midair collision,250,Midair,Maneuvering,2026-04-03 04:05:44.570293+00:00
14,202217,1,1,400341,True,Enroute,400,Loss of engine power (total),341,System/Component Failure (Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
15,202269,1,1,350361,True,Initial climb,350,Aircraft wake turb encounter,361,Turbulence,Initial Climb,2026-04-03 04:05:44.570293+00:00
16,202223,1,1,400342,True,Enroute,400,Loss of engine power (partial),342,System/Component Failure (Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
17,202223,1,2,550440,False,Landing,550,Off-field or emergency landing,440,Other,Landing,2026-04-03 04:05:44.570293+00:00
18,202223,1,3,550470,False,Landing,550,Collision with terr/obj (non-CFIT),470,Other,Landing,2026-04-03 04:05:44.570293+00:00
19,202222,1,1,402342,True,Enroute-cruise,402,Loss of engine power (partial),342,System/Component Failure (Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
20,202216,1,1,552230,True,Landing-landing roll,552,Loss of control on ground,230,Loss of Control (Ground),Landing,2026-04-03 04:05:44.570293+00:00
21,202216,1,2,552096,False,Landing-landing roll,552,Nose over/nose down,096,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
22,202227,1,1,990000,True,Unknown,990,Unknown or undetermined,000,Other,Unknown,2026-04-03 04:05:44.570293+00:00
23,202265,1,1,400341,True,Enroute,400,Loss of engine power (total),341,System/Component Failure (Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
24,202268,1,1,508341,True,Approach-VFR pattern final,508,Loss of engine power (total),341,System/Component Failure (Powerplant),Approach,2026-04-03 04:05:44.570293+00:00
25,202208,1,1,300470,True,Takeoff,300,Collision with terr/obj (non-CFIT),470,Other,Takeoff,2026-04-03 04:05:44.570293+00:00
26,202229,1,1,990000,True,Unknown,990,Unknown or undetermined,000,Other,Unknown,2026-04-03 04:05:44.570293+00:00
27,202221,1,2,402341,True,Enroute-cruise,402,Loss of engine power (total),341,System/Component Failure (Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
28,202220,1,1,550470,False,Landing,550,Collision with terr/obj (non-CFIT),470,Other,Landing,2026-04-03 04:05:44.570293+00:00
29,202220,1,2,400130,False,Enroute,400,Emergency descent initiated,130,Other,Enroute,2026-04-03 04:05:44.570293+00:00
