finding_key,mkey,vehicle_num,finding_num,finding_code,finding_text,finding_report_text,in_probable_cause,silver_loaded_at
1,200820,1,1,0206304044,Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot,Personnel issues Aircraft control - Pilot,True,2026-04-03 04:05:44.570293+00:00
2,200820,1,2,0106203520,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Climb rate - Not attained/maintained,Aircraft Climb rate - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
3,200820,1,3,0302202091,Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Contributed to outcome,Environmental issues Tree(s) - Contributed to outcome,False,2026-04-03 04:05:44.570293+00:00
4,200820,1,4,0302101591,Environmental issues - Physical environment - Terrain - Rough terrain - Contributed to outcome,Environmental issues Rough terrain - Contributed to outcome,False,2026-04-03 04:05:44.570293+00:00
5,202216,1,1,0206304044,Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot,Personnel issues Aircraft control - Pilot,True,2026-04-03 04:05:44.570293+00:00
6,202216,1,2,0106202020,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained,Aircraft Directional control - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
7,202216,1,3,0302300082,Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - (general) - Effect on operation,Environmental issues (general) - Effect on operation,True,2026-04-03 04:05:44.570293+00:00
8,202220,1,3,0106202220,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained,Aircraft Pitch control - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
9,202220,1,4,0204151544,Personnel issues - Action/decision - Info processing/decision - Understanding/comprehension - Pilot,Personnel issues Understanding/comprehension - Pilot,True,2026-04-03 04:05:44.570293+00:00
10,202220,1,5,0202301544,Personnel issues - Psychological - Cognitive limitation - Cognitive overload - Pilot,Personnel issues Cognitive overload - Pilot,True,2026-04-03 04:05:44.570293+00:00
11,202261,1,1,0206303244,Personnel issues - Task performance - Use of equip/info - Use of policy/procedure - Pilot,Personnel issues Use of policy/procedure - Pilot,True,2026-04-03 04:05:44.570293+00:00
12,202261,1,2,0104621011,Aircraft - Aircraft propeller/rotor - Main rotor system - Main rotor blade system - Incorrect use/operation,Aircraft Main rotor blade system - Incorrect use/operation,False,2026-04-03 04:05:44.570293+00:00
13,202194,1,1,0206304044,Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot,Personnel issues Aircraft control - Pilot,True,2026-04-03 04:05:44.570293+00:00
14,202194,1,2,0106202020,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained,Aircraft Directional control - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
15,202194,1,3,0303404082,Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation,Environmental issues Crosswind - Effect on operation,True,2026-04-03 04:05:44.570293+00:00
16,202218,1,1,0107141016,Aircraft - Fluids/misc hardware - Misc hardware - Hoses and tubes - Not inspected,Aircraft Hoses and tubes - Not inspected,True,2026-04-03 04:05:44.570293+00:00
17,202219,1,1,0204101044,Personnel issues - Action/decision - Action - Incorrect action selection - Pilot,Personnel issues Incorrect action selection - Pilot,True,2026-04-03 04:05:44.570293+00:00
18,202219,1,2,0202154544,Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot,Personnel issues Monitoring environment - Pilot,True,2026-04-03 04:05:44.570293+00:00
19,202219,1,3,0302203281,Environmental issues - Physical environment - Object/animal/substance - Wire - Effect on equipment,Environmental issues Wire - Effect on equipment,True,2026-04-03 04:05:44.570293+00:00
20,202158,1,1,0204103544,Personnel issues - Action/decision - Action - Forgotten action/omission - Pilot,Personnel issues Forgotten action/omission - Pilot,True,2026-04-03 04:05:44.570293+00:00
21,202158,1,3,0102323010,Aircraft - Aircraft systems - Landing gear system - Gear extension and retract sys - Not used/operated,Aircraft Gear extension and retract sys - Not used/operated,True,2026-04-03 04:05:44.570293+00:00
22,202158,1,4,0206301544,Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot,Personnel issues Use of equip/system - Pilot,True,2026-04-03 04:05:44.570293+00:00
23,202193,1,1,0106200020,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Not attained/maintained,Aircraft (general) - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
24,202172,1,1,0206304044,Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot,Personnel issues Aircraft control - Pilot,True,2026-04-03 04:05:44.570293+00:00
25,202172,1,2,0106202211,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Incorrect use/operation,Aircraft Pitch control - Incorrect use/operation,True,2026-04-03 04:05:44.570293+00:00
26,202172,1,3,0204102542,Personnel issues - Action/decision - Action - Delayed action - Other,Personnel issues Delayed action - Other,True,2026-04-03 04:05:44.570293+00:00
27,202177,1,1,0500000000,Not determined - Not determined - (general) - (general) - Unknown/Not determined,Not determined (general) - Unknown/Not determined,True,2026-04-03 04:05:44.570293+00:00
28,202177,1,2,0104641005,Aircraft - Aircraft propeller/rotor - Tail rotor - Tail rotor blade - Damaged/degraded,Aircraft Tail rotor blade - Damaged/degraded,True,2026-04-03 04:05:44.570293+00:00
29,202162,1,1,0202154044,Personnel issues - Psychological - Attention/monitoring - Monitoring other aircraft - Pilot,Personnel issues Monitoring other aircraft - Pilot,True,2026-04-03 04:05:44.570293+00:00
30,202162,1,4,0304102091,Environmental issues - Task environment - Physical workspace - Visibility - Contributed to outcome,Environmental issues Visibility - Contributed to outcome,True,2026-04-03 04:05:44.570293+00:00
31,202162,2,1,0202154045,Personnel issues - Psychological - Attention/monitoring - Monitoring other aircraft - Pilot of other aircraft,Personnel issues Monitoring other aircraft - Pilot of other aircraft,True,2026-04-03 04:05:44.570293+00:00
32,202241,1,1,0206103044,Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot,Personnel issues Fuel planning - Pilot,True,2026-04-03 04:05:44.570293+00:00
33,202241,1,2,0107101024,Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level,Aircraft Fuel - Fluid level,True,2026-04-03 04:05:44.570293+00:00
34,202241,1,3,0302101591,Environmental issues - Physical environment - Terrain - Rough terrain - Contributed to outcome,Environmental issues Rough terrain - Contributed to outcome,True,2026-04-03 04:05:44.570293+00:00
35,202342,1,1,0102321001,Aircraft - Aircraft systems - Landing gear system - Main landing gear - Failure,Aircraft Main landing gear - Failure,True,2026-04-03 04:05:44.570293+00:00
36,202138,1,1,0302204586,Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Ability to respond/compensate,Environmental issues Animal(s)/bird(s) - Ability to respond/compensate,True,2026-04-03 04:05:44.570293+00:00
37,202143,1,2,0106202020,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained,Aircraft Directional control - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
38,202143,1,3,0206301544,Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot,Personnel issues Use of equip/system - Pilot,True,2026-04-03 04:05:44.570293+00:00
39,202143,1,4,0203103544,Personnel issues - Experience/knowledge - Experience/qualifications - Recent experience - Pilot,Personnel issues Recent experience - Pilot,True,2026-04-03 04:05:44.570293+00:00
40,202144,1,1,0105732213,Aircraft - Aircraft power plant - Engine fuel and control - Fuel control/carburetor - Incorrect service/maintenance,Aircraft Fuel control/carburetor - Incorrect service/maintenance,True,2026-04-03 04:05:44.570293+00:00
41,202144,1,2,0206203049,Personnel issues - Task performance - Maintenance - Modification/alteration - Owner/builder,Personnel issues Modification/alteration - Owner/builder,False,2026-04-03 04:05:44.570293+00:00
42,202144,1,3,0206000044,Personnel issues - Task performance - (general) - (general) - Pilot,Personnel issues (general) - Pilot,True,2026-04-03 04:05:44.570293+00:00
43,202144,1,4,0105730001,Aircraft - Aircraft power plant - Engine fuel and control - (general) - Failure,Aircraft (general) - Failure,True,2026-04-03 04:05:44.570293+00:00
44,202127,1,1,0202154544,Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot,Personnel issues Monitoring environment - Pilot,False,2026-04-03 04:05:44.570293+00:00
45,202127,1,2,0206304044,Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot,Personnel issues Aircraft control - Pilot,True,2026-04-03 04:05:44.570293+00:00
46,202127,1,3,0106204120,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained,Aircraft Landing flare - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
47,202127,1,4,0202250044,Personnel issues - Psychological - Mental/emotional state - (general) - Pilot,Personnel issues (general) - Pilot,False,2026-04-03 04:05:44.570293+00:00
48,202127,1,5,0303401587,Environmental issues - Conditions/weather/phenomena - Wind - Tailwind - Awareness of condition,Environmental issues Tailwind - Awareness of condition,False,2026-04-03 04:05:44.570293+00:00
49,200914,1,1,0302204586,Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Ability to respond/compensate,Environmental issues Animal(s)/bird(s) - Ability to respond/compensate,True,2026-04-03 04:05:44.570293+00:00
50,200914,1,3,0302204581,Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment,Environmental issues Animal(s)/bird(s) - Effect on equipment,True,2026-04-03 04:05:44.570293+00:00
51,200914,1,4,0302204591,Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Contributed to outcome,Environmental issues Animal(s)/bird(s) - Contributed to outcome,True,2026-04-03 04:05:44.570293+00:00
52,200908,1,1,0206304044,Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot,Personnel issues Aircraft control - Pilot,True,2026-04-03 04:05:44.570293+00:00
53,200908,1,5,0106202020,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained,Aircraft Directional control - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
54,200905,1,1,0102253015,Aircraft - Aircraft systems - Equipment/furnishings - Buffet/galleys - Inadequate inspection,Aircraft Buffet/galleys - Inadequate inspection,True,2026-04-03 04:05:44.570293+00:00
55,200905,1,2,0304102591,Environmental issues - Task environment - Physical workspace - Air quality/dust/smoke - Contributed to outcome,Environmental issues Air quality/dust/smoke - Contributed to outcome,True,2026-04-03 04:05:44.570293+00:00
56,200905,1,3,0201201043,Personnel issues - Physical - Impairment/incapacitation - Illness/injury - Passenger,Personnel issues Illness/injury - Passenger,False,2026-04-03 04:05:44.570293+00:00
57,200922,1,3,0106203520,Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Climb rate - Not attained/maintained,Aircraft Climb rate - Not attained/maintained,True,2026-04-03 04:05:44.570293+00:00
58,200922,1,4,0303102082,Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - High density altitude - Effect on operation,Environmental issues High density altitude - Effect on operation,True,2026-04-03 04:05:44.570293+00:00
59,200928,1,1,0206103044,Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot,Personnel issues Fuel planning - Pilot,True,2026-04-03 04:05:44.570293+00:00
60,200928,1,2,0107101024,Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level,Aircraft Fuel - Fluid level,True,2026-04-03 04:05:44.570293+00:00
61,200928,1,3,0302201091,Environmental issues - Physical environment - Object/animal/substance - Pole - Contributed to outcome,Environmental issues Pole - Contributed to outcome,True,2026-04-03 04:05:44.570293+00:00
