vehicle_key,mkey,vehicle_num,make,model,model_family,aircraft_category,serial_number,registration_number,damage_level,fire_type,explosion_type,number_of_engines,engine_type,ga_flight,amateur_built,operator_name,far_part,flight_operation_type,silver_loaded_at
1,202248,1,DON A BAKER,BAKER-SKYBOLT,DON A BAKER BAKER-SKYBOLT,AIR,,N453DB,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
2,202247,1,PITTS,S1S,PITTS S1S,AIR,,N401MS,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
3,202249,1,NANCHANG CHINA,CJ-6A,NANCHANG CHINA CJ-6A,AIR,,N559TX,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
4,202231,1,CESSNA,T188,CESSNA T188,AIR,,CC-DLH,Substantial,None,None,,,False,False,,000,AAPL,2026-04-03 04:05:44.570293+00:00
5,202228,1,LANCAIR,Legacy,LANCAIR LEGACY,AIR,,N618AM,Destroyed,On-Ground,Unknown,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
6,200820,1,CESSNA,180G,CESSNA 180G,AIR,,N4721U,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
7,202233,1,ICON AIRCRAFT INC,A5,ICON AIRCRAFT INC A5,AIR,,N601BA,Substantial,None,None,1.0,,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
8,202225,1,CIRRUS DESIGN CORP,SR20,CIRRUS DESIGN CORP SR20,AIR,,N506SR,Substantial,None,None,1.0,,True,False,McKnight Aviation LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
9,202264,1,ROBINSON,R44,ROBINSON R44,HELI,,PP-BAN,Substantial,Unknown,Unknown,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
10,202224,1,VARGA AIRCRAFT CORP.,2150A,VARGA AIRCRAFT CORP. 2150A,AIR,,N5062V,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
11,202196,1,CESSNA,172P,CESSNA 172P,AIR,,N54576,Substantial,None,None,1.0,,True,False,RICK AVIATION INC,091,PERS,2026-04-03 04:05:44.570293+00:00
12,202213,1,ENSTROM,280,ENSTROM 280,HELI,,N280MG,Destroyed,On-Ground,None,1.0,,True,False,M&M CHARTER LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
13,202213,2,ENSTROM,F28,ENSTROM F28,HELI,,N520H,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
14,202217,1,BEECH,B90,BEECH B90,,,N40BA,,,,,,True,False,Lux Air,091,,2026-04-03 04:05:44.570293+00:00
15,202269,1,BOEING,737-800,BOEING 737-800,,,EI-HGO,,,,,,False,False,Ryanair,129,,2026-04-03 04:05:44.570293+00:00
16,202223,1,CESSNA,140,CESSNA 140,AIR,,N89884,Substantial,None,None,1.0,,True,False,VALIAIR LC TRUSTEE,091,PERS,2026-04-03 04:05:44.570293+00:00
17,202222,1,EVEKTOR - AEROTECHNIK A S,SPORTSTAR MAX,EVEKTOR - AEROTECHNIK A S SPORTSTAR,AIR,,N2312T,Substantial,None,None,1.0,,True,False,ATHENEAIR LLC,091,PERS,2026-04-03 04:05:44.570293+00:00
18,202216,1,KITFOX,CLASC IV-1200,KITFOX CLASC,AIR,,N239DA,Substantial,None,None,1.0,REC,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
19,202227,1,CESSNA,170,CESSNA 170,AIR,,PT-AGB,Substantial,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
20,202265,1,WAG AERO,CUBY,WAG AERO CUBY,AIR,,N437WT,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
21,202268,1,CESSNA,172,CESSNA 172,AIR,,N172BX,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
22,202208,1,PIPER,PA-32-260,PIPER PA-32-260,AIR,,N2785Q,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
23,202229,1,DASSAULT,FALCON50,DASSAULT FALCON50,AIR,,9H-DFS,Destroyed,Unknown,Unknown,,,False,False,,000,EXEC,2026-04-03 04:05:44.570293+00:00
24,202221,1,ZENITH,750,ZENITH 750,AIR,,N186BG,Substantial,None,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
25,202220,1,CIRRUS DESIGN CORP,SR22T,CIRRUS DESIGN CORP SR22T,AIR,,N272HM,Substantial,None,None,1.0,REC,True,False,,091,BUS,2026-04-03 04:05:44.570293+00:00
26,202261,1,ELA,ELA10,ELA ELA10,GYRO,,N396S,Substantial,None,None,1.0,REC,True,True,,091,UNK,2026-04-03 04:05:44.570293+00:00
27,202207,1,CESSNA,A188,CESSNA A188,AIR,,N,Substantial,None,None,,,True,False,,000,,2026-04-03 04:05:44.570293+00:00
28,202203,1,BEECH,K35,BEECH K35,AIR,,N9540R,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
29,202202,1,CESSNA,172N,CESSNA 172N,AIR,,N1517E,Minor,None,None,1.0,,True,False,ACADEMY OF AVIATION,091,INST,2026-04-03 04:05:44.570293+00:00
30,202202,2,CESSNA,152,CESSNA 152,AIR,,N65199,Substantial,None,None,1.0,,True,False,LONG ISLAND AVIATORS LLC,091,INST,2026-04-03 04:05:44.570293+00:00
31,202194,1,BOEING,PT-13D,BOEING PT-13D,AIR,,N68830,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
32,202201,1,BEECHCRAFT,B300,BEECHCRAFT B300,AIR,,ANX1209,Destroyed,None,None,2.0,,False,False,The country of Mexico,000,OWRK,2026-04-03 04:05:44.570293+00:00
33,202205,1,BOEING,787,BOEING 787,AIR,,JA865J,None,None,None,,,False,False,Japan Airlines,129,,2026-04-03 04:05:44.570293+00:00
34,202232,1,PIPER,PA-44-180,PIPER PA-44-180,AIR,,N156WM,Substantial,None,None,2.0,,True,False,FIXED WING HOLDING COMPANY INC,091,INST,2026-04-03 04:05:44.570293+00:00
35,202260,1,CESSNA,150,CESSNA 150,AIR,,N3103V,Substantial,None,None,1.0,,True,False,N3103V LLC,091,INST,2026-04-03 04:05:44.570293+00:00
