incident_key,mkey,ntsb_no,event_date,event_year,event_month,city,state,country,latitude,longitude,airport_id,airport_name,make_raw,model_raw,make_clean,model_clean,model_family,aircraft_category,n_number,serial_number,amateur_built,number_of_engines,engine_type,far_part,scheduled,purpose_of_flight,operator,aircraft_damage,damage_severity_score,highest_injury_level,fatal_count,serious_count,minor_count,total_onboard,weather_condition,accident_site_condition,has_safety_rec,report_type,report_status,factual_narrative,analysis_narrative,probable_cause,findings_text,narrative_combined,kw_engine_failure,kw_fuel_exhaustion,kw_loss_of_control,kw_weather_factor,kw_mechanical,kw_pilot_error,kw_runway_excursion,kw_fire,kw_structural,kw_bird_strike,severity_score,source_csv_ingestion_id,source_json_ingestion_id,silver_loaded_at
546,200830,DCA25WA301,2025-04-22,2025,4,Luton,,United Kingdom,,,EGGW,London Luton Airport,BOEING,737,BOEING,737,BOEING 737,AIR,G-CRUX,,False,,,000,,,,None,1,,0,0,0,0,,,False,,N/A,,,,,   ,False,False,False,False,False,False,False,False,False,False,3.00,670,,2026-04-03 04:05:44.570293+00:00
230,200433,DCA25WA245,2025-07-12,2025,7,Mascot,,Austria,,,,,BOEING,737,BOEING,737,BOEING 737,,VH-YIL,,False,,,000,SCHD,,,,0,,0,0,0,0,,,False,,N/A,,,,,   ,False,False,False,False,False,False,False,False,False,False,0.00,1492,,2026-04-03 04:05:44.570293+00:00
324,200557,GAA25WA211,2025-07-15,2025,7,Khancoban,,Australia,-36.220167,,,,BEECH,35,BEECH,35,BEECH 35,AIR,VH-KZK,,False,,,000,,,,Destroyed,4,Fatal,1,0,0,1,,,False,,N/A,,,,,   ,False,False,False,False,False,False,False,False,False,False,29.00,1471,,2026-04-03 04:05:44.570293+00:00
359,200604,GAA25WA214,2025-07-19,2025,7,Miranda,OTHER FOREIGN,Venezuela,,,SVCS,,CESSNA,152,CESSNA,152,CESSNA 152,AIR,YV104E,15281130,False,1.0,,000,,UNK,,Minor,2,None,0,0,0,0,,,False,,N/A,,,,,   ,False,False,False,False,False,False,False,False,False,False,6.00,1447,,2026-04-03 04:05:44.570293+00:00
753,201712,GAA25WA265,2025-09-19,2025,9,Cham,OTHER FOREIGN,Switzerland,,,,,PIPER,PA18,PIPER,PA18,PIPER PA18,AIR,HB-ORK,,False,,,000,,,,Destroyed,4,Fatal,1,0,0,1,,,False,,N/A,,,,,   ,False,False,False,False,False,False,False,False,False,False,29.00,1250,,2026-04-03 04:05:44.570293+00:00
177,200361,DCA25LA239,2025-06-22,2025,6,Nashville,TENNESSEE,United States,36.130202,,,,AIRBUS,A320,AIRBUS,A320,AIRBUS A320,AIR,N616NK,,False,,,121,SCHD,,Spirit,None,1,Serious,0,1,0,1,,,False,,In work,,,,,   ,False,False,False,False,False,False,False,False,False,False,11.00,1810,,2026-04-03 04:05:44.570293+00:00
6,199967,DCA25WA177,2025-04-06,2025,4,Bay Of Biscay,,France,,,,,BOEING,737-800,BOEING,737-800,BOEING 737-800,,OY-JZK,,False,,,,,,,,0,,0,0,0,0,,,False,,N/A,,,,,   ,False,False,False,False,False,False,False,False,False,False,0.00,737,,2026-04-03 04:05:44.570293+00:00
220,200416,GAA25WA195,2025-06-27,2025,6,Chartres,,France,,,LFOR,,CESSNA,172,CESSNA,172,CESSNA 172,AIR,F-GYDS,,False,,,000,,,,Destroyed,4,,0,0,0,0,,,False,,N/A,,,,,   ,False,False,False,False,False,False,False,False,False,False,12.00,1776,,2026-04-03 04:05:44.570293+00:00
66,200056,ENG25WA030,2025-04-22,2025,4,Budapest,,Hungary,,,,,BOEING,737,BOEING,737,BOEING 737,AIR,SP-RZU,,False,,TF,000,,,,Unknown,0,None,0,0,0,0,,,False,,N/A,,,,,   ,False,False,False,False,False,False,False,False,False,False,0.00,671,,2026-04-03 04:05:44.570293+00:00
162,200344,GAA25WA186,2025-06-05,2025,6,Lanseria,,South Africa,,,,,CESSNA,210,CESSNA,210,CESSNA 210,AIR,ZS-MZJ,,False,,,000,,,,Destroyed,4,Fatal,1,1,0,2,,,False,,N/A,,,,,   ,False,False,False,False,False,False,False,False,False,False,29.00,1897,,2026-04-03 04:05:44.570293+00:00
163,200345,GAA25WA187,2025-06-08,2025,6,Ladysmith,,South Africa,,,,,PIPER,PA28,PIPER,PA28,PIPER PA28,AIR,ZS-KFB,,False,,,000,,,,Substantial,3,,0,0,0,0,,,False,,N/A,,,,,   ,False,False,False,False,False,False,False,False,False,False,9.00,1876,,2026-04-03 04:05:44.570293+00:00
164,200346,DCA25WA235,2025-06-10,2025,6,Near Waypoint Dagag,,Singapore,,,,,BOEING,787,BOEING,787,BOEING 787,AIR,9V-OFI,,False,,,000,SCHD,,Scoot,None,1,,0,0,0,0,,,False,,N/A,,,,,   ,False,False,False,False,False,False,False,False,False,False,3.00,1870,,2026-04-03 04:05:44.570293+00:00
659,200964,GAA25WA253,2025-09-07,2025,9,Castellón,OTHER FOREIGN,Spain,,,LECN,,THRUSH,S2R,THRUSH,S2R,THRUSH S2R,AIR,EC-MXF,,False,,,000,,,PLYSA,Substantial,3,,0,0,0,0,,,False,,N/A,,,,,   ,False,False,False,False,False,False,False,False,False,False,9.00,1318,,2026-04-03 04:05:44.570293+00:00
748,201706,DCA25WA338,2025-09-11,2025,9,Lipjan,,Kosovo,,,,,BOEING,737,BOEING,737,BOEING 737,AIR,GPX5AS,,False,2.0,,000,,,,Minor,2,,0,0,0,0,,,False,,N/A,,,,,   ,False,False,False,False,False,False,False,False,False,False,6.00,1296,,2026-04-03 04:05:44.570293+00:00
760,201723,GAA25WA268,2025-09-24,2025,9,Lillooet,OTHER FOREIGN,Canada,,,,,BUSHMASTER,Super 22,BUSHMASTER,Super 22,BUSHMASTER SUPER,,C-GWNQ,,False,,,,,,,,0,Fatal,1,0,0,1,,,False,,N/A,,,,,   ,False,False,False,False,False,False,False,False,False,False,17.00,1219,,2026-04-03 04:05:44.570293+00:00
